IDs,S,E,labels
6_372,1.1429,3.93778,1
6_373,1.1429,3.93778,0
6_374,1.1429,3.93778,0
6_375,1.1429,3.93778,0
6_376,1.1429,3.93778,0
6_377,1.1429,3.93778,0
6_378,1.1429,3.93778,0
6_379,1.1429,3.93778,0
6_380,1.1429,3.93778,0
6_381,1.0663,0.679703,0
6_382,1.1429,3.93778,0
6_383,1.1429,3.93778,0
6_384,1.1429,3.93778,0
6_385,1.1429,3.93778,0
6_386,1.1429,3.93778,0
6_387,1.0663,0.679703,0
6_388,1.1429,3.93778,0
6_389,1.1429,3.93778,0
6_390,1.1429,3.93778,0
6_391,1.0663,0.198756,0
6_392,1.0788,1.84861,0
6_393,0.99262,0.420422,0
6_394,1.072,2.47202,0
6_395,1.0822,2.82522,0
6_396,1.1002,0.439455,0
6_397,1.1085,2.96662,0
6_398,1.1261,3.4829,0
6_399,1.0432,3.16577,0
6_400,1.0432,3.16577,0
6_401,1.0432,3.16577,0
6_402,1.1066,0.592678,0
6_403,1.1135,0.687658,0
6_404,0.99178,0.705334,0
6_405,1.0181,0.87311,0
6_406,1.1429,5.61781,0
6_407,1.0923,0.478534,0
6_408,1.1429,5.61781,0
6_409,1.1429,5.61781,0
6_410,1.0416,0.293225,0
6_411,1.1429,5.61781,0
6_412,1.1279,0.800252,1
6_413,1.1523,1.07203,0
6_414,0.97916,0.496463,0
6_415,1.0357,0.401993,0
6_416,1.0195,0.420363,0
6_417,1.0739,0.65304,0
6_418,0.99691,0.641932,0
6_419,1.0489,0.866648,0
6_420,0.87473,1.08073,0
6_421,1.0401,1.88357,0
6_422,1.0489,0.866648,0
6_423,0.87473,1.08073,0
6_424,0.87473,1.08073,0
6_425,1.0401,1.88357,0
6_426,0.87473,1.08073,0
6_427,1.0193,1.74775,0
6_428,1.033,2.0589,0
6_429,1.0222,0.246328,0
6_430,1.1216,1.00175,0
6_431,0.96475,0.583729,0
6_432,0.88216,0.619064,0
6_433,1.1098,1.54239,0
6_434,1.1098,1.54239,0
6_435,1.0715,1.2295,0
6_436,1.1005,1.72807,0
6_437,0.91323,0.910409,0
6_438,1.0938,1.24418,0
6_439,1.0938,1.24418,0
6_440,0.89181,0.726603,0
6_441,0.89181,0.726603,0
6_442,1.1632,1.79427,0
6_443,1.1632,1.79427,0
6_444,0.91807,0.646871,0
6_445,1.0663,0.902999,0
6_446,0.89806,0.741928,0
6_447,1.108,1.34462,0
6_448,1.1474,1.86764,0
6_449,1.1714,2.24044,0
6_450,0.87996,0.847759,0
6_451,0.91033,1.92111,0
6_452,0.82065,1.58049,0
6_453,0.91033,1.92111,0
6_454,0.91033,1.92111,0
6_455,0.9308,1.18836,0
6_456,0.92788,0.806456,0
6_457,0.88751,0.885833,0
6_458,0.91683,1.33979,0
6_459,0.96345,1.80898,0
6_460,0.96345,1.80898,1
6_461,0.96345,1.80898,0
6_462,0.92073,2.01655,0
6_463,0.94365,2.61123,0
6_464,0.94365,2.61123,0
6_465,0.94365,2.61123,0
6_466,0.97806,0.125705,0
6_467,0.81546,1.5596,0
6_468,0.81546,1.5596,0
6_469,0.97916,0.496463,0
6_470,0.90101,2.06989,0
6_471,0.92032,2.29787,0
6_472,0.90783,1.81192,0
6_473,0.93125,2.38765,0
6_474,0.98683,0.775472,0
6_475,0.92317,3.24221,0
6_476,1.0187,0.629301,0
6_477,0.87648,2.33709,0
6_478,0.9054,0.794205,0
6_479,0.88761,2.61116,0
6_480,0.8944,2.67873,0
6_481,1.0196,0.957173,0
6_482,0.95613,1.93322,0
6_483,1.0125,1.21309,0
6_484,0.99626,1.85334,0
6_485,0.85714,4.41472,0
6_486,0.99633,1.25101,0
6_487,1.0171,1.17496,0
6_488,0.8687,4.73698,0
6_489,0.78571,3.25893,0
6_490,0.757,3.0304,0
6_491,1.0141,2.69999,0
6_492,0.85714,5.89286,0
6_493,1.1429,2.14286,0
6_494,0.97143,3.48571,0
6_495,0.85714,5.89286,0
6_496,1.2857,8.57143,0
6_497,1.2857,8.57143,0
6_498,1.1429,2.14286,0
6_499,0.85714,5.89286,0
6_500,1.0794,1.46594,0
6_501,1.0876,0.444939,0
6_502,1.2231,2.76313,0
6_503,0.89181,0.726603,0
6_504,0.88216,0.619064,0
6_505,0.85714,1.43856,0
6_506,1.1429,7.50149,0
6_507,0.96926,2.69594,0
6_508,0.8849,3.12065,0
7_1,1.0819,0.366124,0
7_2,1.106,0.64852,0
7_3,1.1138,0.774492,0
7_4,1.1338,0.942127,0
7_5,1.143,1.07668,0
7_6,1.1525,1.21579,0
7_7,1.1089,1.21888,0
7_8,1.0849,0.980065,0
7_9,1.1324,1.85391,0
7_10,1.1324,1.85391,0
7_11,1.1419,1.47903,0
7_12,1.115,1.20305,0
7_13,1.1073,1.70347,0
7_14,1.1528,1.61272,0
7_15,1.1239,2.0472,0
7_16,1.1276,2.13147,0
7_17,1.1248,1.32159,0
7_18,1.1698,2.17731,0
7_19,1.1698,2.17731,0
7_20,1.1823,2.33908,0
7_21,1.1823,2.33908,0
7_22,1.1425,1.97163,0
7_23,1.0423,0.4116,0
7_24,1.1619,2.36239,0
7_25,1.1661,2.45859,0
7_26,1.1542,2.11364,0
7_27,1.1745,2.52395,0
7_28,1.179,2.62503,0
7_29,1.068,0.812383,0
7_30,1.0699,0.55443,0
7_31,1.0763,0.992098,0
7_32,1.0788,0.650317,0
7_33,1.1534,1.75759,0
7_34,1.1208,1.4279,0
7_35,1.0901,1.13379,0
7_36,1.1011,0.93724,0
7_37,1.0785,1.64002,0
7_38,1.1113,1.12072,0
7_39,1.112,1.03435,0
7_40,1.1878,2.50592,0
7_41,1.1878,2.50592,0
7_42,1.1228,1.22168,0
7_43,1.1514,2.10055,0
7_44,1.1514,2.10055,0
7_45,1.0245,0.869421,0
7_46,1.1024,2.4821,0
7_47,1.1024,2.4821,0
7_48,1.1546,2.15468,0
7_49,1.1191,1.78408,0
7_50,1.1167,1.75265,0
7_51,1.2283,3.40222,0
7_52,1.2283,3.40222,0
7_53,1.2283,3.40222,0
7_54,1.179,2.61164,0
7_55,1.1843,2.7257,0
7_56,1.1414,2.19384,0
7_57,1.1462,2.29627,0
7_58,1.0516,1.4738,0
7_59,1.1294,1.85387,0
7_60,1.0602,1.73129,0
7_61,1.0542,0.933731,0
7_62,1.1464,2.67843,0
7_63,1.1464,2.67843,0
7_64,1.1919,2.9571,0
7_65,1.0736,2.87948,0
7_66,1.1919,2.9571,0
7_67,1.0638,1.01526,0
7_68,1.2203,3.5148,0
7_69,1.2203,3.5148,0
7_70,1.0785,3.50153,0
7_71,1.0785,3.50153,0
7_72,1.0671,0.78461,0
7_73,1.2264,3.65371,0
7_74,1.2264,3.65371,0
7_75,1.0371,0.551145,0
7_76,1.1612,2.81778,0
7_77,1.1612,2.81778,0
7_78,1.0902,3.79686,0
7_79,1.0904,4.06843,0
7_80,1.0369,2.32529,0
7_81,1.1553,2.51618,0
7_82,1.0881,1.51905,0
7_83,1.1822,3.02443,0
7_84,1.0611,2.93752,0
7_85,1.1881,3.15176,0
7_86,1.0392,2.8965,0
7_87,1.0937,1.43051,0
7_88,1.0937,1.43051,0
7_89,1.0989,1.7862,0
7_90,1.2116,3.59804,0
7_91,1.2179,3.74135,0
7_92,1.1001,1.60253,0
7_93,1.2243,3.88854,0
7_94,1.0733,3.77672,0
7_95,1.1168,3.03875,0
7_96,1.0803,3.96232,0
7_97,1.1058,0.976701,0
7_98,1.1118,1.87605,0
7_99,1.0698,3.95488,0
7_100,1.0709,0.709225,0
7_101,1.0764,4.1966,0
7_102,1.0644,3.99211,0
7_103,1.1237,3.75218,0
7_104,1.1237,3.75218,0
7_105,1.0801,4.45305,0
7_106,1.0603,1.20536,0
7_107,1.0828,4.50988,0
7_108,1.1185,1.1172,0
7_109,1.1313,3.17019,0
7_110,1.1382,4.08597,0
7_111,1.0819,0.83305,0
7_112,1.0811,1.5915,0
7_113,1.1388,4.4033,0
7_114,1.0746,2.37746,0
7_115,1.0856,1.68772,0
7_116,1.139,3.92008,0
7_117,1.139,3.92008,0
7_118,1.089,5.43726,0
7_119,1.089,5.43726,0
7_120,1.089,5.43726,0
7_121,1.089,5.43726,0
7_122,1.089,5.43726,0
7_123,1.1545,4.27201,0
7_124,1.1397,1.66015,0
7_125,1.1397,1.66015,0
7_126,1.0872,2.46778,0
7_127,1.1552,4.60702,0
7_128,1.1046,3.0514,0
7_129,1.0787,2.99447,0
7_130,1.1549,1.82685,0
