IDs,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,S,E,labels
7_1928,0,0,0,0,0,0,0,0,0,4,1,3,2,1,1,5,12,0.19806226,3.80193774,2,1.29099445,1.66666667,1,12,0.19806226,3.80193774,2,1.29099445,1.66666667,1,0.42857143,1.047,2.38832,1
7_1949,0,0,0,0,0,0,0,0,0,8,0.58578644,3.41421356,2,1,1,3,12,0.69722436,4.30277564,2.4,1.356466,1.84,2,14,0.26794919,4.41421356,2.33333333,1.49071198,2.22222222,1,0.28571429,1.1139,1.73511,1
7_2019,0,0,0,0,0,0,0,0,0,10,1.38196601,3.61803399,2.5,1.11803399,1.25,3,16,0.68373454,5.03032185,2.66666667,1.49071198,2.22222222,1,16,0.68373454,5.03032185,2.66666667,1.49071198,2.22222222,1,0.28571429,1.0827,3.90936,1
7_2244,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,6,12,0.19806226,3.80193774,2,1.29099445,1.66666667,1,12,0.19806226,3.80193774,2,1.29099445,1.66666667,1,0.28571429,1.159,4.07937,1
7_2314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.19806226,3.80193774,2,1.29099445,1.66666667,1,12,0.19806226,3.80193774,2,1.29099445,1.66666667,1,0.14285714,0.9279,1.18137,1
7_2329,0,0,0,0,0,0,0,0,0,10,1.38196601,3.61803399,2.5,1.11803399,1.25,3,16,0.7530204,4.87938524,2.66666667,1.37436854,1.88888889,1,16,0.7530204,4.87938524,2.66666667,1.37436854,1.88888889,1,0.28571429,1.0815,2.14898,1
7_2550,0,0,0,0,0,0,0,0,0,8,2,3,2.66666667,0.47140452,0.22222222,4,14,0.30037185,4.46050487,2.33333333,1.49071198,2.22222222,1,14,0.30037185,4.46050487,2.33333333,1.49071198,2.22222222,1,0.42857143,0.9459,7.56939,1
8_721,0,0,0,0,0,0,0,0,0,14,0.76393202,5.23606798,2.8,1.46969385,2.16,3,18,0.4265228,5.47399627,2.57142857,1.67819145,2.81632653,1,18,0.4265228,5.47399627,2.57142857,1.67819145,2.81632653,1,0.5,1.1352,4.05825,1
8_2817,0,0,0,0,0,0,0,0,0,12,3,3,3,0,0,4,18,0.26794919,4.73205081,2.57142857,1.59078982,2.53061224,1,18,0.26794919,4.73205081,2.57142857,1.59078982,2.53061224,1,0.375,1.1487,2.54048,1
8_3248,0,0,0,0,0,0,0,0,0,18,0.39832087,5.26180225,3,1.52752523,2.33333333,2,22,0.50972445,5.49027555,3.14285714,1.64130361,2.69387755,1,22,0.50972445,5.49027555,3.14285714,1.64130361,2.69387755,1,0.25,0.89784,13.9511,1
8_4616,0,0,0,0,0,0,0,0,0,14,0.76393202,5.23606798,2.8,1.83303028,3.36,3,16,0.42211051,5.28349898,2.66666667,1.79505494,3.22222222,2,18,0.31866936,5.32340428,2.57142857,1.76126114,3.10204082,1,0.375,0.9678,1.64436,1
8_4760,0,0,0,0,0,0,0,0,0,10,2,4,2.5,0.8660254,0.75,4,16,0.23549337,4.7831096,2.28571429,1.48461498,2.20408163,1,16,0.23549337,4.7831096,2.28571429,1.48461498,2.20408163,1,0.5,1.1413,5.42813,1
8_5260,0,0,0,0,0,0,0,0,0,12,1,5,3,1.41421356,2,4,20,0.31866936,5.32340428,2.85714286,1.64130361,2.69387755,1,20,0.31866936,5.32340428,2.85714286,1.64130361,2.69387755,1,0.125,0.9189,3.75886,1
8_5491,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,6,16,0.30037185,4.46050487,2.28571429,1.57790872,2.48979592,1,16,0.30037185,4.46050487,2.28571429,1.57790872,2.48979592,1,0.25,1.0845,5.72719,1
